DALS_path,split_type,augmentation_type,scaling_type,decoder_mode,latent_dim,ChamferL2 x 10000_mean,ChamferL2 x 10000_std,BL quality_mean,BL quality_std,No. ints._mean,No. ints._std,Precision@0.01_mean,Precision@0.01_std,Recall@0.01_mean,Recall@0.01_std,F1@0.01_mean,F1@0.01_std,Precision@0.02_mean,Precision@0.02_std,Recall@0.02_mean,Recall@0.02_std,F1@0.02_mean,F1@0.02_std,Search_mean,Search_std,Total_mean,Total_std,num_test_samples
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-27.ckpt,separate,noaug,global,mlp,256,962.1043387965152,289.27858469199697,0.9884824752807617,0.0,0.0,0.0,0.6226447230989212,0.351640947850253,9.887947107224088,5.712878924389911,1.1682284869204618,0.6562945010134429,1.2558420730668953,0.7006276251139025,20.1013349639742,11.277840502254113,2.3570816267931245,1.3064854712196925,1.5228341315921985,0.0028311913768324084,1.522834642937309,0.0028311933518349523,152
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-40.ckpt,separate,aug,individual,gcnn,128,2610.3828791568153,326.44290722759524,0.596750734668029,0.0024921141583942323,51.74110814144737,2.0557942722782783,1.0595328660779877,0.34433686514236983,3.4674078124134162,1.2343179851899544,1.6163799096094935,0.5259850250434681,1.7595986319999946,0.538402661094351,7.42709188398562,2.558176556806358,2.8300005809256903,0.8597756612425448,1.6717838817521145,0.0018419946388279855,1.6717843680005324,0.0018419996167658983,152
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-29.ckpt,separate,aug,individual,mlp,128,2810.879094977128,640.1900333533542,0.9884824752807617,0.0,0.0,0.0,0.22124999414786303,0.16703797747764057,7.748493213794734,5.804595037559741,0.4298905957318646,0.32413763205173357,0.44268419880934645,0.32746032203891956,16.432236365581815,11.9403360250641,0.8613877072746522,0.6360692944665151,1.48662489809488,0.002192314921612229,1.486625384343298,0.002192290635409783,152
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-30.ckpt,separate,aug,individual,mlp,512,2811.1878911068566,639.0463008084505,0.9884824752807617,0.0,0.0,0.0,0.2205789429503248,0.16584621335955016,7.76075640399205,5.805957498958924,0.42864442559106175,0.32189467147775247,0.4423223573218198,0.32406932028625873,16.438249568209837,11.963727388145983,0.8607826110275806,0.629829914370744,1.6037988945057517,0.0024072730584144856,1.6037993791856264,0.002407257452808281,152
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-42.ckpt,separate,aug,individual,gcnn,256,2519.8511456941305,320.060537247799,0.6313229528696913,0.0028778021185065497,39.757272820723685,1.0714551256331306,1.0173552397050356,0.3327252349602581,3.716434121131897,1.263835833867086,1.5939742605152882,0.5207434173683495,1.7176183771930242,0.5116268855271574,7.952539265155792,2.6178439802592193,2.8186968039525184,0.8447971005969939,1.72234992290798,0.002929259886775807,1.7223504844464754,0.0029292486845064756,152
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-43.ckpt,separate,aug,individual,gcnn,512,751.8603628058182,102.78766514598948,0.631830461715397,0.011330172945595908,39.34300472861842,2.8374578911452426,4.676914351551156,0.8317280410911625,5.691322223136299,1.2210460563573429,5.114576824401555,0.9523527404510609,9.47700634128169,1.501580658456343,12.152479921516619,2.4918709826395595,10.59071483737544,1.7611791602247309,1.8132770861449994,0.0019106284518156918,1.8132775990586532,0.001910661162360785,152
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-53.ckpt,mixed,noaug,individual,gcnn,128,160.76856217817826,115.1329927546924,0.9347761305895719,0.0004696954749648898,0.006036931818181818,0.0181976249649417,9.338217895681208,3.3880153800930546,10.071036182750355,3.62637939054641,9.668747251684016,3.4874598078122356,19.537090318853206,6.456809379835505,21.313726823980158,6.871510613042651,20.329512492093173,6.617406382387011,1.6705572388388894,0.001374287317090854,1.6705577503551137,0.001374331318257151,55
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-54.ckpt,separate,aug,global,gcnn,512,1328.7839680721886,220.15429659128552,0.5852765213502081,0.0022875455639529314,24.324629934210527,1.0211857862577243,2.388138096975653,0.7085430258159416,4.422197276040127,1.2419287143102848,3.076567434166607,0.8534704870681257,4.260605143873315,1.22441686340866,9.038460301725488,2.4948359443919665,5.7452522673104935,1.5476217161836452,1.8130898522703272,0.002645434277709656,1.8130903620468943,0.0026454104585210626,152
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-55.ckpt,separate,aug,global,gcnn,128,1810.6421203613281,197.936030072789,0.6626543728144545,0.004855024234499926,21.90905119243421,0.5254438197922601,2.9870459555011046,0.7404082853743262,3.3958091233905994,0.9687217233321896,3.1544191170679894,0.7939969097600265,5.267453799122258,1.2004580098162252,6.904243244936592,1.8986909930566314,5.930079414656288,1.3876816982640205,1.6724296478848708,0.0017622372729892409,1.6724301545243514,0.0017622367745934067,152
/home/ralbe/DALS/mesh_autodecoder/models/MeshDecoderTrainer_2025-10-17_13-45-56.ckpt,separate,aug,global,mlp,128,843.0792292544717,220.28943494824958,0.9690056651046401,0.002782608576195621,0.02377158717105263,0.07554187652135065,0.7936118252477363,0.3979317523377358,9.871920849931868,5.0456480768110525,1.4646521691036851,0.7291280974554016,1.6215723283392818,0.7725555684490708,20.018894184576837,9.554987746191445,2.9903774604593454,1.4117537190882625,1.4865272452956753,0.002418243959496747,1.4865277221328335,0.0024182616757425115,152
